"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-07-06_17-15-02","3691.0","1585.0","1655.0","451.0","27","13"
"192_168_4_5-2020-07-12_13-30-01","897.0","395.0","401.0","101.0","25","5"
"192_168_4_5-2020-07-17_11-30-01","514.0","158.0","255.0","101.0","23","1"
"192_168_4_5-2020-06-23_17-30-01","3768.0","1528.0","1567.0","673.0","25","15"
"192_168_4_5-2020-07-06_20-00-02","1635.0","508.0","903.0","224.0","25","7"
"192_168_4_5-2020-06-28_12-45-02","1006.0","475.0","446.0","85.0","25","1"
"192_168_4_5-2020-07-12_09-15-01","1067.0","423.0","482.0","162.0","21","5"
"192_168_4_5-2020-06-28_13-45-01","941.0","378.0","386.0","177.0","27","5"
"192_168_4_5-2020-07-17_17-45-01","1629.0","661.0","758.0","210.0","27","11"
"192_168_4_5-2020-06-24_21-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-25_10-45-01","1025.0","421.0","425.0","179.0","21","5"
"192_168_4_5-2020-06-30_10-45-01","1023.0","294.0","304.0","425.0","21","3"
"192_168_4_5-2020-06-26_16-30-01","2847.0","1154.0","1312.0","381.0","27","13"
"192_168_4_5-2020-07-15_19-15-01","9094.0","3424.0","4383.0","1287.0","25","17"
"192_168_4_5-2020-07-06_17-45-01","8986.0","3249.0","4048.0","1689.0","25","17"
"192_168_4_5-2020-06-26_23-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-06_11-30-01","627.0","274.0","330.0","23.0","23","3"
"192_168_4_5-2020-07-04_14-00-01","2448.0","1088.0","1085.0","275.0","25","11"
"192_168_4_5-2020-07-14_12-00-01","987.0","431.0","491.0","65.0","23","1"
"192_168_4_5-2020-06-28_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-24_16-00-01","4485.0","1876.0","2003.0","606.0","25","15"
"192_168_4_5-2020-07-12_21-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-27_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-03_07-15-01","940.0","305.0","373.0","262.0","21","5"
"192_168_4_5-2020-06-23_10-15-01","890.0","357.0","375.0","158.0","25","3"
"192_168_4_5-2020-07-09_19-00-01","2447.0","900.0","1183.0","364.0","27","11"
"192_168_4_5-2020-07-10_12-45-01","1251.0","549.0","614.0","88.0","23","1"
"192_168_4_5-2020-07-05_07-00-01","362.0","140.0","150.0","72.0","17","5"
"192_168_4_5-2020-07-10_18-30-02","5721.0","2111.0","2916.0","694.0","25","17"
"192_168_4_5-2020-07-02_20-15-01","833.0","273.0","491.0","69.0","23","1"
"192_168_4_5-2020-07-03_12-30-02","2466.0","982.0","998.0","486.0","27","11"
"192_168_4_5-2020-06-25_11-15-01","1095.0","423.0","458.0","214.0","25","5"
"192_168_4_5-2020-07-16_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-29_11-15-01","30.0","11.0","6.0","13.0","13","1"
"192_168_4_5-2020-06-23_12-45-01","657.0","294.0","319.0","44.0","21","1"
"192_168_4_5-2020-07-03_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-13_16-00-01","3206.0","1226.0","1668.0","312.0","27","13"
"192_168_4_5-2020-07-04_22-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-12_17-00-01","3980.0","1782.0","1743.0","455.0","27","13"
"192_168_4_5-2020-07-03_08-00-01","575.0","238.0","238.0","99.0","23","1"
"192_168_4_5-2020-07-02_15-00-01","2304.0","876.0","995.0","433.0","25","13"
"192_168_4_5-2020-07-13_15-15-02","1021.0","428.0","443.0","150.0","27","3"
"192_168_4_5-2020-07-11_18-45-01","1623.0","607.0","684.0","332.0","27","5"
"192_168_4_5-2020-06-28_22-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-17_11-00-01","474.0","169.0","246.0","59.0","23","1"
"192_168_4_5-2020-07-17_14-15-01","508.0","239.0","234.0","35.0","25","7"
"192_168_4_5-2020-06-23_17-15-01","2289.0","949.0","1050.0","290.0","27","11"
"192_168_4_5-2020-07-11_16-45-01","2138.0","896.0","1033.0","209.0","27","13"
"192_168_4_5-2020-07-01_12-15-01","1337.0","501.0","595.0","241.0","25","3"
"192_168_4_5-2020-06-26_14-15-01","874.0","344.0","407.0","123.0","25","3"
"192_168_4_5-2020-07-09_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-29_13-45-01","298.0","132.0","145.0","21.0","13","1"
"192_168_4_5-2020-06-26_07-00-01","579.0","244.0","264.0","71.0","17","3"
"192_168_4_5-2020-07-05_18-00-01","982.0","384.0","417.0","181.0","27","9"
"192_168_4_5-2020-06-29_18-00-02","593.0","267.0","270.0","56.0","25","5"
"192_168_4_5-2020-06-25_16-30-01","2726.0","1142.0","1278.0","306.0","27","11"
"192_168_4_5-2020-07-07_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-25_20-00-01","1125.0","342.0","442.0","341.0","21","3"
"192_168_4_5-2020-06-28_17-45-01","216.0","69.0","75.0","72.0","15","3"
"192_168_4_5-2020-06-26_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-22_15-45-01","2580.0","1114.0","1060.0","406.0","27","13"
"192_168_4_5-2020-07-10_22-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-10_07-00-01","164.0","67.0","59.0","38.0","19","1"
"192_168_4_5-2020-07-14_08-30-02","134.0","31.0","91.0","12.0","23","1"
"192_168_4_5-2020-07-07_16-00-01","2654.0","1010.0","1276.0","368.0","27","11"
"192_168_4_5-2020-07-10_20-30-01","1039.0","253.0","529.0","257.0","25","3"
"192_168_4_5-2020-07-08_13-45-01","2067.0","831.0","842.0","394.0","25","9"
"192_168_4_5-2020-07-04_20-30-01","897.0","282.0","415.0","200.0","25","5"
"192_168_4_5-2020-07-13_18-15-01","1044.0","354.0","476.0","214.0","27","9"
"192_168_4_5-2020-07-09_14-15-02","1530.0","526.0","561.0","443.0","25","9"
"192_168_4_5-2020-06-29_20-15-01","118.0","48.0","47.0","23.0","13","3"
"192_168_4_5-2020-07-06_10-45-01","1299.0","598.0","569.0","132.0","25","11"
"192_168_4_5-2020-07-04_19-00-01","2567.0","961.0","1138.0","468.0","27","11"
"192_168_4_5-2020-06-25_07-45-01","562.0","227.0","224.0","111.0","23","1"
"192_168_4_5-2020-07-11_21-30-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-06_08-15-01","762.0","273.0","343.0","146.0","21","3"
"192_168_4_5-2020-07-16_17-15-01","1738.0","657.0","853.0","228.0","27","13"
"192_168_4_5-2020-07-17_08-15-01","1318.0","605.0","596.0","117.0","25","9"
"192_168_4_5-2020-06-29_23-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-05_12-00-01","2278.0","991.0","1048.0","239.0","25","11"
"192_168_4_5-2020-06-30_13-00-01","488.0","182.0","200.0","106.0","19","1"
"192_168_4_5-2020-07-17_19-15-02","1006.0","276.0","360.0","370.0","25","3"
"192_168_4_5-2020-07-07_21-00-01","959.0","382.0","435.0","142.0","13","1"
"192_168_4_5-2020-06-23_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-11_23-00-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-15_17-00-01","3555.0","1663.0","1544.0","348.0","27","13"
"192_168_4_5-2020-07-07_12-15-01","1260.0","546.0","533.0","181.0","23","3"
"192_168_4_5-2020-06-25_11-45-01","1478.0","588.0","613.0","277.0","21","5"
"192_168_4_5-2020-07-13_11-15-01","1841.0","682.0","700.0","459.0","25","9"
"192_168_4_5-2020-06-23_20-30-01","787.0","323.0","361.0","103.0","23","1"
"192_168_4_5-2020-07-15_19-30-01","1804.0","678.0","960.0","166.0","27","13"
"192_168_4_5-2020-07-03_17-45-01","2518.0","817.0","972.0","729.0","25","9"
"192_168_4_5-2020-06-30_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-18_11-30-01","618.0","267.0","318.0","33.0","23","3"
"192_168_4_5-2020-07-12_10-15-01","502.0","185.0","306.0","11.0","23","1"
"192_168_4_5-2020-07-02_20-00-01","875.0","307.0","475.0","93.0","25","3"
"192_168_4_5-2020-06-27_10-00-01","647.0","239.0","265.0","143.0","21","5"
"192_168_4_5-2020-07-18_07-00-01","1147.0","467.0","491.0","189.0","17","3"
"192_168_4_5-2020-07-07_13-30-01","4450.0","1753.0","1802.0","895.0","25","15"
"192_168_4_5-2020-07-11_08-30-01","1063.0","450.0","444.0","169.0","21","5"
"192_168_4_5-2020-07-11_13-00-01","800.0","331.0","361.0","108.0","25","3"
"192_168_4_5-2020-07-14_19-15-01","931.0","223.0","460.0","248.0","25","5"
