"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-08-18_15-30-01","1604.0","690.0","720.0","194.0","21","5"
"192_168_4_5-2020-08-24_07-30-01","392.0","174.0","155.0","63.0","17","3"
"192_168_4_5-2020-07-30_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-28_20-45-01","306.0","147.0","145.0","14.0","13","1"
"192_168_4_5-2020-08-08_14-30-01","1342.0","555.0","573.0","214.0","21","5"
"192_168_4_5-2020-08-21_07-30-01","430.0","186.0","206.0","38.0","15","5"
"192_168_4_5-2020-08-12_16-15-01","2958.0","1136.0","1167.0","655.0","27","15"
"192_168_4_5-2020-08-15_13-00-01","940.0","402.0","398.0","140.0","25","7"
"192_168_4_5-2020-07-31_13-45-01","1033.0","458.0","465.0","110.0","25","3"
"192_168_4_5-2020-08-04_23-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-14_22-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-05_17-00-01","1076.0","364.0","370.0","342.0","25","1"
"192_168_4_5-2020-07-23_20-00-01","1383.0","613.0","585.0","185.0","21","5"
"192_168_4_5-2020-08-15_16-30-01","1946.0","840.0","904.0","202.0","27","9"
"192_168_4_5-2020-07-31_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-07_15-15-01","5508.0","2247.0","2493.0","768.0","25","17"
"192_168_4_5-2020-08-09_13-45-01","771.0","356.0","359.0","56.0","23","3"
"192_168_4_5-2020-08-02_11-15-02","1851.0","718.0","739.0","394.0","19","1"
"192_168_4_5-2020-08-09_09-30-01","841.0","343.0","374.0","124.0","15","1"
"192_168_4_5-2020-07-21_13-30-01","2043.0","857.0","1026.0","160.0","27","9"
"192_168_4_5-2020-08-13_11-15-01","1562.0","636.0","664.0","262.0","21","3"
"192_168_4_5-2020-08-21_08-30-01","506.0","193.0","199.0","114.0","13","3"
"192_168_4_5-2020-07-25_10-45-01","284.0","120.0","141.0","23.0","23","1"
"192_168_4_5-2020-08-16_10-15-01","2255.0","944.0","967.0","344.0","15","5"
"192_168_4_5-2020-08-10_18-30-01","2164.0","785.0","1013.0","366.0","15","3"
"192_168_4_5-2020-08-09_07-00-01","387.0","153.0","171.0","63.0","21","3"
"192_168_4_5-2020-08-16_16-30-01","2205.0","974.0","1020.0","211.0","21","5"
"192_168_4_5-2020-08-20_11-00-02","2670.0","1129.0","1127.0","414.0","13","5"
"192_168_4_5-2020-08-08_08-00-02","317.0","144.0","137.0","36.0","17","1"
"192_168_4_5-2020-07-26_07-15-01","1598.0","706.0","697.0","195.0","13","5"
"192_168_4_5-2020-08-02_13-45-01","900.0","424.0","412.0","64.0","23","1"
"192_168_4_5-2020-08-21_13-15-01","1395.0","604.0","594.0","197.0","17","1"
"192_168_4_5-2020-07-23_20-30-01","2099.0","902.0","903.0","294.0","13","1"
"192_168_4_5-2020-07-22_13-00-01","1118.0","307.0","359.0","452.0","25","3"
"192_168_4_5-2020-07-21_10-45-01","1340.0","481.0","579.0","280.0","25","9"
"192_168_4_5-2020-08-20_22-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-14_13-15-01","897.0","406.0","434.0","57.0","25","5"
"192_168_4_5-2020-08-13_18-30-01","721.0","249.0","348.0","124.0","17","1"
"192_168_4_5-2020-08-12_19-30-01","552.0","186.0","194.0","172.0","13","1"
"192_168_4_5-2020-07-24_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-31_15-00-01","2051.0","880.0","885.0","286.0","27","11"
"192_168_4_5-2020-08-21_10-00-01","621.0","259.0","294.0","68.0","13","1"
"192_168_4_5-2020-08-13_23-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-29_09-00-01","606.0","271.0","271.0","64.0","15","5"
"192_168_4_5-2020-08-10_08-00-01","281.0","122.0","140.0","19.0","13","1"
"192_168_4_5-2020-08-24_07-15-02","310.0","136.0","128.0","46.0","13","3"
"192_168_4_5-2020-07-20_22-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-03_18-45-01","1509.0","572.0","680.0","257.0","19","1"
"192_168_4_5-2020-08-07_14-15-01","4199.0","1822.0","1816.0","561.0","25","15"
"192_168_4_5-2020-08-19_08-45-01","2269.0","946.0","942.0","381.0","15","5"
"192_168_4_5-2020-08-04_19-45-01","955.0","401.0","399.0","155.0","13","1"
"192_168_4_5-2020-07-19_22-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-25_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-16_18-30-01","1466.0","642.0","657.0","167.0","15","3"
"192_168_4_5-2020-07-28_09-00-01","456.0","198.0","206.0","52.0","17","3"
"192_168_4_5-2020-08-08_07-15-02","544.0","217.0","234.0","93.0","13","1"
"192_168_4_5-2020-08-19_18-15-01","1137.0","363.0","414.0","360.0","17","1"
"192_168_4_5-2020-08-21_15-30-01","2017.0","766.0","820.0","431.0","15","3"
"192_168_4_5-2020-08-11_19-15-01","1107.0","416.0","437.0","254.0","13","1"
"192_168_4_5-2020-07-24_17-00-01","3699.0","1580.0","1756.0","363.0","27","11"
"192_168_4_5-2020-08-21_18-00-01","1851.0","685.0","743.0","423.0","15","3"
"192_168_4_5-2020-08-15_23-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-01_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-01_07-15-01","1821.0","753.0","795.0","273.0","13","5"
"192_168_4_5-2020-07-23_11-15-01","1258.0","421.0","512.0","325.0","25","7"
"192_168_4_5-2020-07-31_19-15-01","2069.0","731.0","901.0","437.0","17","5"
"192_168_4_5-2020-08-01_08-45-01","1721.0","749.0","725.0","247.0","19","1"
"192_168_4_5-2020-07-21_07-45-02","799.0","310.0","310.0","179.0","21","3"
"192_168_4_5-2020-08-11_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-22_10-15-01","2697.0","1065.0","1059.0","573.0","13","5"
"192_168_4_5-2020-08-23_12-00-01","3265.0","1373.0","1379.0","513.0","13","5"
"192_168_4_5-2020-07-27_09-00-02","313.0","135.0","168.0","10.0","19","1"
"192_168_4_5-2020-07-30_11-00-01","3121.0","1158.0","1251.0","712.0","13","5"
"192_168_4_5-2020-08-06_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-22_18-30-01","23.0","8.0","14.0","1.0","21","1"
"192_168_4_5-2020-08-21_10-15-01","504.0","222.0","219.0","63.0","13","1"
"192_168_4_5-2020-08-12_10-45-01","1360.0","575.0","570.0","215.0","19","1"
"192_168_4_5-2020-08-13_10-30-02","1197.0","545.0","552.0","100.0","13","3"
"192_168_4_5-2020-07-25_07-30-01","459.0","181.0","215.0","63.0","19","1"
"192_168_4_5-2020-08-09_15-45-01","3052.0","1315.0","1428.0","309.0","25","13"
"192_168_4_5-2020-07-28_17-15-01","137.0","65.0","51.0","21.0","13","5"
"192_168_4_5-2020-08-10_18-45-01","1410.0","485.0","600.0","325.0","17","1"
