date_time,station_id,rh,eto,etr,rso,ea_avg,precip,rh_max,rh_min,rh_tmn,rh_tmx,td_avg,td_max,td_min,td_tmn,td_tmx,co2_avg,ppf_avg,solarmj,wet_pct,airt_avg,airt_max,airt_min,airt_tmn,airt_tmx,lwdn_avg,lwup_avg,pressure,swdn_avg,swup_avg,windd_sd,windd_avg,winds_avg,winds_max,winds_tmx,netrad_avg,fan_rmp_avg,visibilitymiles,batt_volt_min,surfacet1_avg,surfacet2_avg,visibilitymiles_avg,pressurekpasealevel
"2020-06-22 00:59:59",1279257,51,0.000,0.000,0,1.009,0.000,52,50,22JUN2020:00:19:51,22JUN2020:00:45:31,44.8,45.7,44.2,22JUN2020:00:54:14,22JUN2020:00:00:34,454.9,-3.599,0.0000,0,63.5,64.6,62.2,22JUN2020:00:59:52,22JUN2020:00:20:12,383.9,324.6,85.9,1.351,0,44,53,2.684,8.053,22JUN2020:00:27:54,-60.65,4327,19.014,12.32,55.0,,19.014,101.4
"2020-06-22 01:59:59",1279257,53,0.000,0.000,0,0.989,0.000,54,52,22JUN2020:01:00:01,22JUN2020:01:59:51,44.2,44.8,43.9,22JUN2020:01:55:24,22JUN2020:01:03:34,458.9,-3.598,0.0000,0,61.5,62.4,60.4,22JUN2020:01:59:52,22JUN2020:01:00:32,379.7,319.8,85.9,1.264,0,39,78,3.132,8.500,22JUN2020:01:57:19,-61.17,4318,19.884,12.3,53.6,52.3,19.014,101.4
"2020-06-22 02:59:59",1279257,56,0.000,0.000,0,0.974,0.000,58,54,22JUN2020:02:00:01,22JUN2020:02:52:51,43.9,44.2,43.5,22JUN2020:02:58:04,22JUN2020:02:02:54,460.6,-3.598,0.0000,0,59.5,60.8,57.9,22JUN2020:02:52:02,22JUN2020:02:06:32,375.8,315.3,85.9,1.193,0,60,108,2.684,9.843,22JUN2020:02:49:04,-61.68,4308,19.014,12.27,52.3,52.5,19.263,101.4
"2020-06-22 03:59:59",1279257,58,0.000,0.000,0,0.964,0.000,59,57,22JUN2020:03:35:21,22JUN2020:03:59:51,43.5,43.9,43.3,22JUN2020:03:52:04,22JUN2020:03:09:04,460.7,-3.598,0.0000,0,58.1,59.2,57.0,22JUN2020:03:59:42,22JUN2020:03:00:52,372.9,312.4,85.9,1.454,0,54,81,3.132,10.066,22JUN2020:03:41:55,-61.96,4297,18.455,12.17,51.4,51.8,19.200,101.4
"2020-06-22 04:59:59",1279257,59,0.000,0.000,0,0.955,0.000,61,58,22JUN2020:04:19:11,22JUN2020:04:01:21,43.3,44.1,42.8,22JUN2020:04:56:04,22JUN2020:04:01:24,459.7,-1.532,0.0030,0,57.4,58.3,56.3,22JUN2020:04:56:22,22JUN2020:04:17:42,371.7,310.3,85.9,1.531,0.032,57,60,3.579,11.408,22JUN2020:04:51:39,-62.94,4287,19.822,12.16,51.3,51.4,19.014,101.5
"2020-06-22 05:59:59",1279257,59,0.002,0.003,0.147,0.940,0.000,60,57,22JUN2020:05:56:31,22JUN2020:05:00:11,43.0,43.3,42.4,22JUN2020:05:57:14,22JUN2020:05:00:01,457.1,36.61,0.0400,0,57.2,58.6,56.3,22JUN2020:05:35:42,22JUN2020:05:13:52,372,307.9,86.0,2.801,10.68,56,54,4.026,12.079,22JUN2020:05:47:37,-56.21,4282,19.200,12.17,51.6,51.4,19.263,101.6
"2020-06-22 06:59:59",1279257,56,0.002,0.003,0.733,0.932,0.000,60,53,22JUN2020:06:57:21,22JUN2020:06:03:51,42.8,43.0,42.3,22JUN2020:06:57:54,22JUN2020:06:41:34,455.2,74.18,0.0840,0,58.1,60.8,55.8,22JUN2020:06:02:42,22JUN2020:06:56:22,372.9,307.5,86.1,6.77,28.01,64,110,3.355,14.987,22JUN2020:06:36:45,-44.14,4286,18.455,12.2,51.6,52.0,18.393,101.6
"2020-06-22 07:59:59",1279257,52,0.002,0.003,1.423,0.969,0.000,56,49,22JUN2020:07:54:21,22JUN2020:07:48:41,43.7,47.8,42.1,22JUN2020:07:14:04,22JUN2020:07:48:44,449.2,676.4,1.1930,0,61.7,64.8,59.2,22JUN2020:07:01:22,22JUN2020:07:55:42,396.4,323,86.1,65.17,354.6,58,77,2.684,9.171,22JUN2020:07:12:45,216,4339,17.274,12.25,57.7,62.4,18.890,101.7
"2020-06-22 08:59:59",1279257,52,0.009,0.010,2.096,1.182,0.000,56,48,22JUN2020:08:15:31,22JUN2020:08:14:21,48.9,52.3,45.3,22JUN2020:08:00:24,22JUN2020:08:56:04,471.1,1212,2.0710,0,65.5,69.4,63.1,22JUN2020:08:01:32,22JUN2020:08:14:32,439.7,344,86.2,139.4,606.2,66,149,1.342,5.145,22JUN2020:08:03:10,371,4557,15.659,12.7,75.0,76.3,18.020,101.7
"2020-06-22 09:59:59",1279257,44,0.015,0.016,2.671,1.056,0.000,55,32,22JUN2020:09:59:51,22JUN2020:09:00:01,45.9,52.3,39.7,22JUN2020:09:46:14,22JUN2020:09:00:04,451.1,1561,2.6030,0,68.9,71.8,66.2,22JUN2020:09:01:12,22JUN2020:09:58:32,459.8,358,86.2,167.5,769.8,61,307,1.790,5.369,22JUN2020:09:41:25,500.4,4616,19.884,13.18,83.7,80.8,18.082,101.8
