"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-08-31_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-30_20-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-25_16-30-01","1521.0","591.0","583.0","347.0","21","3"
"192_168_4_5-2020-09-03_19-30-02","1275.0","475.0","677.0","123.0","21","3"
"192_168_4_5-2020-08-31_19-00-01","6.0","1.0","2.0","3.0","13","1"
"192_168_4_5-2020-09-02_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-29_14-45-01","2361.0","1018.0","1024.0","319.0","17","3"
"192_168_4_5-2020-09-27_16-00-01","1239.0","553.0","573.0","113.0","15","1"
"192_168_4_5-2020-09-12_23-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-30_09-45-01","225.0","101.0","93.0","31.0","13","3"
"192_168_4_5-2020-09-10_08-00-01","57.0","22.0","29.0","6.0","15","3"
"192_168_4_5-2020-08-25_08-45-01","930.0","372.0","373.0","185.0","13","1"
"192_168_4_5-2020-10-02_16-45-01","126.0","31.0","85.0","10.0","13","1"
"192_168_4_5-2020-09-11_13-30-01","3034.0","1293.0","1466.0","275.0","25","15"
"192_168_4_5-2020-09-29_20-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-21_10-45-01","802.0","382.0","375.0","45.0","13","1"
"192_168_4_5-2020-09-28_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-05_16-30-01","970.0","380.0","496.0","94.0","15","3"
"192_168_4_5-2020-09-15_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-04_08-15-01","48.0","17.0","24.0","7.0","13","1"
"192_168_4_5-2020-08-30_14-30-01","912.0","432.0","420.0","60.0","27","9"
"192_168_4_5-2020-09-30_12-00-01","1586.0","676.0","728.0","182.0","15","1"
"192_168_4_5-2020-09-19_17-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-06_07-30-01","42.0","15.0","20.0","7.0","13","3"
"192_168_4_5-2020-09-03_08-15-01","40.0","15.0","16.0","9.0","13","1"
"192_168_4_5-2020-09-14_11-45-01","200.0","87.0","106.0","7.0","13","1"
"192_168_4_5-2020-09-26_19-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-01_09-30-01","68.0","27.0","30.0","11.0","15","1"
"192_168_4_5-2020-09-23_11-15-01","69.0","13.0","39.0","17.0","13","1"
"192_168_4_5-2020-09-25_20-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-29_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-26_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-29_18-00-02","590.0","212.0","318.0","60.0","17","1"
"192_168_4_5-2020-08-27_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-13_15-15-01","869.0","385.0","422.0","62.0","19","1"
"192_168_4_5-2020-09-15_21-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-08_07-15-01","11.0","5.0","4.0","2.0","13","1"
"192_168_4_5-2020-09-03_15-15-01","2189.0","1015.0","1017.0","157.0","21","3"
"192_168_4_5-2020-09-22_10-30-01","585.0","260.0","291.0","34.0","13","1"
"192_168_4_5-2020-10-02_08-15-01","153.0","63.0","70.0","20.0","13","3"
"192_168_4_5-2020-08-24_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-27_15-30-02","2475.0","1140.0","1143.0","192.0","13","5"
"192_168_4_5-2020-08-29_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-28_16-30-01","184.0","85.0","91.0","8.0","13","1"
"192_168_4_5-2020-09-17_23-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-24_22-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-07_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-03_14-00-01","737.0","336.0","346.0","55.0","23","1"
"192_168_4_5-2020-09-14_18-15-01","1682.0","570.0","859.0","253.0","15","5"
"192_168_4_5-2020-09-14_08-30-01","54.0","22.0","23.0","9.0","17","3"
"192_168_4_5-2020-09-30_09-00-01","168.0","75.0","66.0","27.0","13","5"
"192_168_4_5-2020-09-24_09-45-01","139.0","66.0","63.0","10.0","13","1"
"192_168_4_5-2020-09-21_23-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-08_16-15-01","213.0","85.0","80.0","48.0","13","1"
"192_168_4_5-2020-09-29_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-14_20-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-13_18-00-01","1914.0","681.0","961.0","272.0","15","5"
"192_168_4_5-2020-09-14_21-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-09_12-15-01","1912.0","840.0","844.0","228.0","27","11"
"192_168_4_5-2020-10-02_12-45-01","237.0","92.0","115.0","30.0","13","3"
"192_168_4_5-2020-08-29_16-45-01","1604.0","671.0","685.0","248.0","19","1"
"192_168_4_5-2020-09-02_12-15-01","903.0","393.0","434.0","76.0","25","3"
"192_168_4_5-2020-09-27_13-45-01","490.0","209.0","238.0","43.0","27","9"
"192_168_4_5-2020-08-29_19-00-01","2333.0","995.0","1058.0","280.0","21","5"
"192_168_4_5-2020-09-16_13-15-01","2121.0","987.0","963.0","171.0","21","3"
"192_168_4_5-2020-09-03_08-45-01","14.0","5.0","7.0","2.0","13","1"
"192_168_4_5-2020-08-28_23-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-03_07-15-01","4.0","0.0","2.0","2.0","13","1"
"192_168_4_5-2020-09-04_11-30-01","1878.0","847.0","922.0","109.0","17","5"
"192_168_4_5-2020-08-28_15-45-01","456.0","192.0","242.0","22.0","21","1"
"192_168_4_5-2020-09-09_16-00-01","856.0","419.0","409.0","28.0","27","9"
"192_168_4_5-2020-09-27_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-25_09-00-01","547.0","203.0","190.0","154.0","17","1"
"192_168_4_5-2020-09-27_13-30-01","1137.0","496.0","477.0","164.0","17","1"
"192_168_4_5-2020-09-15_09-15-01","61.0","20.0","26.0","15.0","13","1"
"192_168_4_5-2020-09-23_16-30-01","224.0","86.0","88.0","50.0","15","3"
"192_168_4_5-2020-09-15_19-00-01","1576.0","589.0","777.0","210.0","15","5"
"192_168_4_5-2020-09-05_11-15-01","770.0","312.0","387.0","71.0","13","3"
"192_168_4_5-2020-09-19_18-30-01","48.0","23.0","20.0","5.0","13","1"
"192_168_4_5-2020-09-04_14-45-01","3107.0","1344.0","1342.0","421.0","25","11"
"192_168_4_5-2020-09-09_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-09_22-00-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-28_16-15-01","387.0","165.0","170.0","52.0","13","1"
